Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,k_anonymity,l_diversity,suppression_limit,epochs,custom_generated_rows,test_size
DecisionTree,Anonymous,0.6504,0.6328,0.6504,0.6396,,,0.1373,0.1387,,,,,,
DecisionTree,Original,0.7154,0.749,0.7154,0.7244,,,0.3912,0.4016,,,,,,
KNN,Anonymous,0.6423,0.5912,0.6423,0.6039,,,0.036,0.0392,,,,,,
KNN,Original,0.6504,0.6226,0.6504,0.6314,,,0.11,0.113,,,,,,
LogisticRegression,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
LogisticRegression,Original,0.8537,0.8626,0.8537,0.8427,,,0.6184,0.6476,,,,,,
RandomForest,Anonymous,0.6179,0.5709,0.6179,0.5864,,,-0.0045,-0.0048,,,,,,
RandomForest,Original,0.8455,0.8501,0.8455,0.8351,,,0.6004,0.6242,,,,,,
SVM,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,Original,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.6341,0.6153,0.6341,0.6228,,,0.0972,0.0982,,,,,,
DecisionTree,Original,0.748,0.7632,0.748,0.7532,,,0.4384,0.4419,,,,,,
KNN,Anonymous,0.6423,0.5912,0.6423,0.6039,,,0.036,0.0392,,,,,,
KNN,Original,0.6504,0.6226,0.6504,0.6314,,,0.11,0.113,,,,,,
LogisticRegression,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
LogisticRegression,Original,0.8537,0.8626,0.8537,0.8427,,,0.6184,0.6476,,,,,,
RandomForest,Anonymous,0.5854,0.548,0.5854,0.5629,,,-0.0555,-0.057,,,,,,
RandomForest,Original,0.8374,0.8427,0.8374,0.8252,,,0.576,0.6032,,,,,,
SVM,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,Original,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.6423,0.6267,0.6423,0.633,,,0.124,0.1249,,,,,,
DecisionTree,Original,0.7073,0.7381,0.7073,0.7162,,,0.3696,0.378,,,,,,
KNN,Anonymous,0.6423,0.5912,0.6423,0.6039,,,0.036,0.0392,,,,,,
KNN,Original,0.6504,0.6226,0.6504,0.6314,,,0.11,0.113,,,,,,
LogisticRegression,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
LogisticRegression,Original,0.8537,0.8626,0.8537,0.8427,,,0.6184,0.6476,,,,,,
RandomForest,Anonymous,0.6341,0.5912,0.6341,0.604,,,0.0382,0.0404,,,,,,
RandomForest,Original,0.8374,0.8427,0.8374,0.8252,,,0.576,0.6032,,,,,,
SVM,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,Original,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
